@00003000: $28 <= 00001234
@00003400: $ 1 <= 12345678
@0000341c: $30 <= 12340000
@00003420: $31 <= 00005678
@00003424: $31 <= 00005678
@00003428: *00000004 <= 00005678
@00003444: $30 <= 000068ac
@00003448: $31 <= 00003450
@0000344c: $31 <= 12340000
@0000346c: $30 <= 000068ac
@00003470: $31 <= 00003478
@00003474: $31 <= 12340000
@00003478: $ 1 <= 123468ac
@00003494: $30 <= 000068ac
@00003498: $31 <= 000034a0
@0000349c: $31 <= 12340000
@000034a0: *00000004 <= 12340000
@000034bc: $30 <= 000068ac
@000034c0: $31 <= 000034c8
@000034c4: $30 <= 000068ac
@000034e4: $30 <= 000068ac
@000034e8: $31 <= 000034f0
@000034ec: $30 <= 000068ac
@000034f0: $ 1 <= 00009d9c
@0000350c: $30 <= 000068ac
@00003510: $31 <= 00003518
@00003514: $30 <= 000068ac
@00003518: *00000004 <= 00003518
@00003534: $30 <= 000068ac
@00003538: $31 <= 00003540
@0000353c: $31 <= 00005678
@0000355c: $30 <= 000068ac
@00003560: $31 <= 00003568
@00003564: $31 <= 00005678
@00003568: $ 1 <= 0000bf24
@00003584: $30 <= 000068ac
@00003588: $31 <= 00003590
@0000358c: $31 <= 00005678
@00003590: *00000004 <= 00005678
@000035ac: $30 <= 000068ac
@000035b0: $31 <= 00004444
@000035b4: $31 <= 12340000
@000035d4: $30 <= 000068ac
@000035d8: $31 <= 00004444
@000035dc: $31 <= 12340000
@000035e0: $ 1 <= 123468ac
@000035fc: $30 <= 000068ac
@00003600: $31 <= 00004444
@00003604: $31 <= 12340000
@00003608: *00000004 <= 12340000
@00003624: $30 <= 000068ac
@00003628: $31 <= 00004444
@0000362c: $30 <= 000068ac
@0000364c: $30 <= 000068ac
@00003650: $31 <= 00004444
@00003654: $30 <= 000068ac
@00003658: $ 1 <= 0000acf0
@00003674: $30 <= 000068ac
@00003678: $31 <= 00004444
@0000367c: $30 <= 000068ac
@00003680: *00000004 <= 00004444
@0000369c: $30 <= 000068ac
@000036a0: $31 <= 00004444
@000036a4: $31 <= 00005678
@000036c4: $30 <= 000068ac
@000036c8: $31 <= 00004444
@000036cc: $31 <= 00005678
@000036d0: $ 1 <= 0000bf24
@000036ec: $30 <= 000068ac
@000036f0: $31 <= 00004444
@000036f4: $31 <= 00005678
@000036f8: *00000004 <= 00005678
@00003714: $30 <= 000068ac
@00003718: $31 <= 00005678
@0000371c: $31 <= 12340000
@0000373c: $30 <= 000068ac
@00003740: $31 <= 00005678
@00003744: $31 <= 12340000
@00003748: $ 1 <= 123468ac
@00003764: $30 <= 000068ac
@00003768: $31 <= 00005678
@0000376c: $31 <= 12340000
@00003770: *00000004 <= 12340000
@0000378c: $30 <= 000068ac
@00003790: $31 <= 00005678
@00003794: $30 <= 000068ac
@000037b4: $30 <= 000068ac
@000037b8: $31 <= 00005678
@000037bc: $30 <= 000068ac
@000037c0: $ 1 <= 0000bf24
@000037dc: $30 <= 000068ac
@000037e0: $31 <= 00005678
@000037e4: $30 <= 000068ac
@000037e8: *00000004 <= 00005678
@00003804: $30 <= 000068ac
@00003808: $31 <= 00005678
@0000380c: $31 <= 00005678
@0000382c: $30 <= 000068ac
@00003830: $31 <= 00005678
@00003834: $31 <= 00005678
@00003838: $ 1 <= 0000bf24
@00003854: $30 <= 000068ac
@00003858: $31 <= 00005678
@0000385c: $31 <= 00005678
@00003860: *00000004 <= 00005678
@0000387c: $30 <= 00005678
@00003880: $31 <= 00003888
@00003884: $31 <= 12340000
@000038a4: $30 <= 00005678
@000038a8: $31 <= 000038b0
@000038ac: $31 <= 12340000
@000038b0: $ 1 <= 12345678
@000038cc: $30 <= 00005678
@000038d0: $31 <= 000038d8
@000038d4: $31 <= 12340000
@000038d8: *00000004 <= 12340000
@000038f4: $30 <= 00005678
@000038f8: $31 <= 00003900
@000038fc: $30 <= 000068ac
@0000391c: $30 <= 00005678
@00003920: $31 <= 00003928
@00003924: $30 <= 000068ac
@00003928: $ 1 <= 0000a1d4
@00003944: $30 <= 00005678
@00003948: $31 <= 00003950
@0000394c: $30 <= 000068ac
@00003950: *00000004 <= 00003950
@0000396c: $30 <= 00005678
@00003970: $31 <= 00003978
@00003974: $31 <= 00005678
@00003994: $30 <= 00005678
@00003998: $31 <= 000039a0
@0000399c: $31 <= 00005678
@000039a0: $ 1 <= 0000acf0
@000039bc: $30 <= 00005678
@000039c0: $31 <= 000039c8
@000039c4: $31 <= 00005678
@000039c8: *00000004 <= 00005678
@000039e4: $30 <= 00005678
@000039e8: $31 <= 00004444
@000039ec: $31 <= 12340000
@00003a0c: $30 <= 00005678
@00003a10: $31 <= 00004444
@00003a14: $31 <= 12340000
@00003a18: $ 1 <= 12345678
@00003a34: $30 <= 00005678
@00003a38: $31 <= 00004444
@00003a3c: $31 <= 12340000
@00003a40: *00000004 <= 12340000
@00003a5c: $30 <= 00005678
@00003a60: $31 <= 00004444
@00003a64: $30 <= 000068ac
@00003a84: $30 <= 00005678
@00003a88: $31 <= 00004444
@00003a8c: $30 <= 000068ac
@00003a90: $ 1 <= 0000acf0
@00003aac: $30 <= 00005678
@00003ab0: $31 <= 00004444
@00003ab4: $30 <= 000068ac
@00003ab8: *00000004 <= 00004444
@00003ad4: $30 <= 00005678
@00003ad8: $31 <= 00004444
@00003adc: $31 <= 00005678
@00003afc: $30 <= 00005678
@00003b00: $31 <= 00004444
@00003b04: $31 <= 00005678
@00003b08: $ 1 <= 0000acf0
@00003b24: $30 <= 00005678
@00003b28: $31 <= 00004444
@00003b2c: $31 <= 00005678
@00003b30: *00000004 <= 00005678
@00003b4c: $30 <= 00005678
@00003b50: $31 <= 00005678
@00003b54: $31 <= 12340000
@00003b74: $30 <= 00005678
@00003b78: $31 <= 00005678
@00003b7c: $31 <= 12340000
@00003b80: $ 1 <= 12345678
@00003b9c: $30 <= 00005678
@00003ba0: $31 <= 00005678
@00003ba4: $31 <= 12340000
@00003ba8: *00000004 <= 12340000
@00003bc4: $30 <= 00005678
@00003bc8: $31 <= 00005678
@00003bcc: $30 <= 000068ac
@00003bec: $30 <= 00005678
@00003bf0: $31 <= 00005678
@00003bf4: $30 <= 000068ac
@00003bf8: $ 1 <= 0000bf24
@00003c14: $30 <= 00005678
@00003c18: $31 <= 00005678
@00003c1c: $30 <= 000068ac
@00003c20: *00000004 <= 00005678
@00003c3c: $30 <= 00005678
@00003c40: $31 <= 00005678
@00003c44: $31 <= 00005678
@00003c64: $30 <= 00005678
@00003c68: $31 <= 00005678
@00003c6c: $31 <= 00005678
@00003c70: $ 1 <= 0000acf0
@00003c8c: $30 <= 00005678
@00003c90: $31 <= 00005678
@00003c94: $31 <= 00005678
@00003c98: *00000004 <= 00005678
